start_station_name,start_station_id
Market St & Henry St,5270.09
E 39 St & Lexington Ave,6389.09
Morris Ave & E 153 St,7901.04
E 80 St & 2 Ave,7121.02
Rockaway Ave & Bainbridge St,4285.09
Lafayette St & E 8 St,5788.13
Van Buren St & Broadway,4568.01
Nassau St & Duffield St,4781.05
Greene St & Prince St,5602.06
Clinton St & Union St,4266.03
Park Pl & Church St,5288.08
Sterling Pl & Rochester Ave,3925.03
Hancock St & Stuyvesant Ave,4383.06
Broadway & 49 St,6587.04
1 Ave & E 62 St,6753.08
56 Dr & 61 St,5540.06
Broadway & Moylan Pl,7823.03
Macombs Rd & W 175 St,8344.04
2 Ave & E 96 St,7338.02
Cathedral Pkwy & Broadway,7680.03
46 St & 6 Ave,3161.02
6 Ave & 55 St,3000.08
Church Ave & McDonald Ave,3090.06
Stuyvesant Walk & 1 Ave Loop,5854.1
Sterling Pl & 5 Ave,4208.01
E 163 St & Tiffany St,7927.08
Bushwick Ave & Harman St,4640.01
5 Ave & 3 St,3987.06
Bailey Ave & W 238 St,8862.02
3 Ave & 17 St,3779.02
E 176 St & Clinton Ave,8272.08
Southern Blvd & Tiffany St,7867.04
Riverside Dr & W 91 St,7524.16
Greene Ave & Grandview Ave,5106.04
3 Ave & E 112 St,7543.15
Bridge St & York St,4853.06
Carroll St & Columbia St,4348.07
Kenmare St & Elizabeth St,5453.06
Audubon Ave & Fort George Ave,8491.07
River Ave & McClellan St,8111.07
46 Rd & 11 St,6245.08
Grand Concourse & E 197 St,8667.01
Caton Ave & E 7 St,3199.01
Boston Rd & West Farms Rd,8212.01
49 Ave & 21 St,6128.04
1 Ave & E 6 St,5626.15
W 47 St & 9 Ave,6786.02
E 48 St & 3 Ave,6541.03
Crescent St & 34 Ave,6759.15
61 St & 39 Ave,6307.07
Cypress Ave & George St,4765.07
Queens Blvd & 56 Ave,5887.03
Hughes Ave & Oak Tree Pl,8369.08
Lexington Ave & Patchen Ave,4534.06
West Drive & Prospect Park West,3651.04
61 St & Woodside Ave,6191.06
Henry St & W 9 St,4086.06
Laight St & Hudson St,5539.06
Chauncey St & Malcolm X Blvd,4228.06
6 Ave & W 45 St,6593.15
E 114 St & 1 Ave,7540.02
21 St & Hoyt Ave S,7126.01
W 133 St & 12 Ave,7925.04
Putnam Ave & Knickerbocker Ave,4663.06
4 Ave & 3 St,4028.04
Stephen St & Seneca Ave,4798.1
Soissons Landing,4590.01
Grand Ave & Remsen Pl,5570.04
2 Ave & E 122 St,7622.12
34 Ave & 45 St,6596.1
Bedford Ave & Beverley Rd,3140.09
Prospect Ave & Greenwood Ave,3312.07
Amsterdam Ave & W 60 St,7023.09
59 St & 59 Rd,5401.03
Howard St & Lafayette St,5422.04
Clinton Ave & Myrtle Ave,4651.02
Ithaca St & Baxter Ave,6323.11
8 Ave & W 38 St,6526.05
Clay Ave & E 173 St,8281.06
Center Blvd & 51 Ave,6179.07
Vernon Blvd & 47 Rd,6212.08
63 St & 59 Dr,5392.04
